"Per","Freq","c0","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","Phi_ss_M53","Phi_ss_M67","Tau_0_M53","Tau_0_M67","Phi_s2s_meas","Phi_s2s_prxy","Tau_r","Phi_lin","Zseis","Rcross","v0","v1","v2","v3","m1","m2","m3","d1","d2","z1","z2","z3","z4","z5","z6","h0","h1","h2","h3","h4","h5","h6"
0.4,2.5,-5.87603149342409,1.15315345967833,-0.635337029725834,-0.457534570040965,-2.34353971982348,0.198465243949671,-1.96140286606677,0.643662165291032,-1.01061033553185,0.0231346727510675,-0.194270341830415,0.0527053061345853,-0.00954497700790913,0.897234719672503,-0.866827962324142,0.0926666588517819,0.0134007422277255,0.483728000922319,0.281825205680609,0.510243132653502,0.23445286876176,0.399353532713625,0.485370180147265,0.303653401148665,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.16,0.226,1.544,-0.77,1,-0.525,-0.086
0.5,2,-6.57211068555569,1.22435805796934,-0.664569418776627,-0.484611185600444,-2.31758338834029,0.200076815588786,-1.67112714764342,0.577159011908322,-0.923091043903091,0.00579927222355263,-0.189585941864922,0.046014851465337,-0.0113496218667629,0.869416905029375,-0.927690232941583,0.10926385522556,0.0153473893676575,0.471283629415261,0.292235270608212,0.495739404226057,0.249628227107281,0.395687375442088,0.482822906098999,0.292551005494186,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.184,0.217,1.554,-0.77,1,-0.407,-0.281
0.75,1.333,-8.5592413307306,1.49509645206433,-0.647756900672791,-0.623403364405031,-2.13768285048637,0.17161242794806,-1.60391362357681,0.552083583582121,-0.761420907343785,-0.0172651833904802,-0.207495648968593,0.0379484704421644,-0.017739577104822,1.05759998335153,-1.01324643369825,0.143604317473602,0.01972526748844,0.432238130356577,0.296114750996115,0.467622983168012,0.321857076445848,0.390595245938712,0.464635822300426,0.268343340413877,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.216,0.154,1.626,-0.78,1,-0.371,-0.285
1,1,-9.94471167364468,1.67825174390935,-0.630861961105899,-0.726112871809506,-2.02801477886547,0.154031041291582,-1.3143172847715,0.511716340368714,-0.664644469124628,-0.0248147637328681,-0.194144037483221,0.0280672155561867,-0.0166460701131305,0.858151761119226,-1.06320684391141,0.164840653995863,0.0220596083630722,0.402814494072932,0.284272287694261,0.439618539329281,0.287714076387017,0.382934215186219,0.46483587033158,0.251461296200166,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.596,0.117,1.616,-0.733,1,-0.128,-0.756
1.5,0.667,-11.5044044514524,1.81550995466889,-0.585665932647843,-0.889422877809008,-2.01527591043637,0.160618413957662,-0.101409165305995,0.299531035077127,-0.539044939844611,-0.0431363090225932,-0.192368879136404,0.0159347643527863,-0.0162993820453454,0.882734865725155,-1.16940147939313,0.217662893506563,0.0312342425948113,0.371095643345437,0.302883135872734,0.410963118677568,0.297965938070408,0.370476318168832,0.435598577873785,0.208465248486819,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.596,0.117,1.616,-0.733,1,-0.128,-0.756
2,0.5,-11.8132429009761,1.77344639260205,-0.559180966565279,-0.918741133380722,-2.20716014930723,0.201995445098994,0.359195502792912,0.237153400622204,-0.485284868011876,-0.0505834005999323,-0.175023208908914,0.00454637353765163,-0.0150674454837665,0.946668764252476,-1.2077271117222,0.239020291007729,0.0347883904318071,0.360834283732558,0.359354826728223,0.38749613134799,0.294306151629145,0.358556541580442,0.430579764055349,0.189760353550366,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.596,0.117,1.616,-0.733,1,-0.128,-0.756
3,0.333,-12.5261097672682,1.83238605894084,-0.485522759588972,-0.907304180522909,-2.27632820067921,0.206074845056593,0.814641371754715,0.180219777388095,-0.46382597604667,-0.0711865356060384,-0.152795672960418,-0.0142309812109817,-0.00425541133579574,0.76564874168033,-1.11924417671047,0.249851525248649,0.0372206861363654,0.339294825974949,0.293668035722675,0.355047898350199,0.262898968047045,0.359468739405185,0.39881115338116,0.214934441735541,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.596,0.117,1.616,-0.733,1,-0.128,-0.756
4,0.25,-13.5666555133887,1.93726328190337,-0.444680642296921,-0.875267506888437,-2.23351260235002,0.199702763579605,0.358380466201748,0.276990841317789,-0.472710769173203,-0.101752583765149,-0.218408576551149,-0.019662560369037,-0.00680621810165942,0.632292250647776,-1.11500898028665,0.275406051471796,0.04338534952916,0.314799258269091,0.305438478000004,0.341627618963002,0.18816062014001,0.362490698200802,0.372593778394321,0.173756334272365,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.596,0.117,1.616,-0.733,1,-0.128,-0.756
5,0.2,-13.6718809629506,1.83986873095468,-0.379772331856386,-0.836521778262863,-2.36488137392243,0.235741699597299,0.245022208862545,0.286534384257703,-0.438132028127518,-0.134318029824355,-0.22258798055723,-0.0187470637848095,-0.0249660544919796,0.597112403347023,-1.11813128436284,0.30203315087116,0.0462306030047397,0.304191758387538,0.297269961593959,0.328438736235516,0.214186145675453,0.363257150936581,0.345891197661371,0.151759665093158,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.596,0.117,1.616,-0.733,1,-0.128,-0.756
7.5,0.133,-13.4995634038316,1.61807980814585,-0.0861726138830664,-0.943960214343463,-2.54245716831784,0.280898972028601,-0.354105633488706,0.374389547692013,-0.363928675141436,-0.100469503606141,-0.243251778460498,-0.0218676988255459,0.00746982101240759,0.438460133002509,-0.990437028783718,0.274414627392901,0.0441697724389656,0.291624313813276,0.336501529188322,0.28863545936647,0.297432261243574,0.337120135021496,0.29903760003227,0.166126964342689,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.596,0.117,1.616,-0.733,1,-0.128,-0.756
10,0.1,-12.9161406066665,1.38208929689328,0.0977328398952143,-0.989960874630146,-2.80036901290481,0.330412853635366,0.233600354970246,0.264872787524313,-0.337971125970432,-0.10993966076529,-0.267678155234216,-0.0114955344406387,-0.00319932437502067,0.431924998604518,-0.828992192255775,0.241107854895741,0.0403296567022103,0.279758945799526,0.349852652048821,0.267438452578078,0.221242722745013,0.311222552391955,0.289013366735337,0.141716244740148,0.3,3,80,800,200,1000,360,5.3,6.7,6,14,20,-51.1836045573847,27.0275853253784,-4.46831011349868,0.231042322978764,3.16656659735911,127.111306822588,0.596,0.117,1.616,-0.733,1,-0.128,-0.756
