freq,a1_f2,a2_f2,a3_f2,a4_f2,a5_f2,a6_f2,a1_f4,a2_f4,a3_f4,a4_f4,a5_f4,a6_f4
0.7762471166286917,0.116683125,0.035782315,412.83673,0.078619935,414.70145,360.73975,0.07228398,0.09914367,215.66548,1.3542317e-05,351.67578,54.005302
0.7943282347242815,0.11427018,0.037589595,414.95,0.081182696,416.82443,360.63797,0.075517684,0.09895324,217.64722,1.814145e-05,351.7779,53.37073
0.8128305161640993,0.1116487,0.03969858,417.0575,0.083844185,419.04617,360.3516,0.07874106,0.09871917,219.9389,2.4298753e-05,351.8832,52.831425
0.8317637711026711,0.10883183,0.042178687,419.19055,0.08660602,421.38498,359.9182,0.08194917,0.09843314,222.57489,3.257183e-05,351.99426,52.379276
0.8511380382023765,0.105843745,0.045113258,421.393,0.08946648,423.87354,359.39972,0.08514893,0.098087214,225.57332,4.3760985e-05,352.11578,52.007076
0.8709635899560807,0.10267803,0.048570283,423.67752,0.09243101,426.5138,358.79715,0.088313915,0.09767095,228.99054,5.8945894e-05,352.24942,51.700848
0.8912509381337457,0.09932919,0.052609768,426.05743,0.09550524,429.30588,358.11057,0.091411866,0.097173,232.8937,7.96319e-05,352.39703,51.449093
0.9120108393559097,0.09579304,0.05726713,428.54703,0.09869482,432.24835,357.33997,0.0944045,0.09658157,237.36264,0.000107933454,352.56085,51.242416
0.933254300796991,0.09206705,0.06252807,431.16092,0.10200532,435.33746,356.4854,0.09724664,0.09588504,242.49217,0.00014684237,352.7437,51.073147
1.0,0.08035147,0.079044096,439.46582,0.11250255,445.4274,353.49432,0.10494,0.09309256,261.63272,0.00037148912,353.42523,50.72613
1.023292992280754,0.077023,0.08265909,441.89246,0.11591627,449.03583,352.47397,0.10791771,0.091937944,267.5749,0.00049315766,353.68176,50.642227
1.0471285480508996,0.07404297,0.08539452,444.11136,0.1192533,452.72885,351.4654,0.11123352,0.090669565,272.89053,0.0006450093,353.95035,50.568966
1.0715193052376064,0.07135807,0.08748456,446.15753,0.122528315,456.48434,350.46228,0.114882834,0.08928292,277.5788,0.0008330311,354.23206,50.504898
1.096478196143185,0.068920664,0.08910183,448.05988,0.1257558,460.28284,349.45505,0.11886086,0.08777388,281.66937,0.0010644471,354.52835,50.44883
1.1220184543019636,0.066698305,0.090365574,449.83563,0.12893783,464.09192,348.436,0.12314959,0.086145006,285.19537,0.0013468644,354.83978,50.39992
1.1481536214968828,0.06466034,0.09136415,451.4989,0.1320763,467.87976,347.39606,0.12772648,0.08440146,288.2085,0.001688816,355.1669,50.357395
1.2022644346174132,0.061032437,0.09280687,454.5276,0.13822612,475.26465,345.21698,0.13763766,0.08060343,292.94614,0.0025897645,355.86954,50.288654
1.2302687708123818,0.05937999,0.09334002,455.91876,0.14126045,478.82718,344.04843,0.14294158,0.0785581,294.81464,0.0031746025,356.24826,50.26098
1.2589254117941675,0.05780648,0.0937879,457.24564,0.14428106,482.26752,342.80005,0.14846629,0.07642217,296.43597,0.0038709228,356.64807,50.236965
1.348962882591654,0.053282868,0.09479754,460.86804,0.1533746,491.7857,338.422,0.16622451,0.06954168,300.27277,0.006848409,357.99673,50.18229
1.3803842646028852,0.051757112,0.09506192,461.95486,0.15645112,494.67075,336.693,0.17248246,0.06712088,301.32184,0.008231103,358.50476,50.168682
1.4125375446227548,0.05018409,0.095303506,462.97665,0.15956637,497.4007,334.7936,0.17887387,0.06465496,302.29614,0.009868842,359.04712,50.15694
1.4454397707459272,0.048541766,0.09552783,463.92807,0.16272959,499.96814,332.69745,0.18536986,0.062157035,303.21167,0.011807126,359.6275,50.146885
