region_id,region_name,region_level,station_count
107,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA TROUGH - MZm,1,11
108,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA TROUGH - QTs,1,21
109,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA TROUGH - Qa,1,123
110,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA TROUGH - Qao,1,13
111,"PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA TROUGH - Quaternary units, undifferentiated",2,7
112,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA TROUGH - Tertiary rocks,2,6
113,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-KLAMATH MOUNTAINS - Js,1,5
114,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-KLAMATH MOUNTAINS - MZms,1,7
115,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-KLAMATH MOUNTAINS - MZum,1,10
116,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-KLAMATH MOUNTAINS - Mesozoic rocks,2,13
117,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-KLAMATH MOUNTAINS - PZms,1,9
118,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-KLAMATH MOUNTAINS - Qa,1,5
119,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - Js,1,10
120,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - Ksl,1,7
121,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - MZgr,1,118
122,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - Mesozoic rocks,2,5
123,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - QTs,1,40
124,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - Qa,1,626
125,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - Qao,1,452
126,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - Tertiary rocks,2,11
127,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - TpCim,1,23
128,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - Tvi,1,12
129,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - UnknownLargeGroup,2,5
130,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-LOS ANGELES RANGES - mTs,1,137
